AL022019     2019     02L     92L
AL032019     2019     03L     94L
AL042019     2019     04L     97L
AL052019     2019     05L     99L
AL062019     2019     06L     98L
AL072019     2019     07L     93L
AL082019     2019     08L     91L
AL092019     2019     09L     95L
AL102019     2019     10L     97L
AL112019     2019     11L     98L
AL122019     2019     12L     99L
AL132019     2019     13L     90L
AL142019     2019     14L     93L
AL152019     2019     15L     94L
AL162019     2019     16L     96L
AL172019     2019     17L     97L
AL182019     2019     18L     98L
AL192019     2019     19L     99L
AL202019     2019     20L     90L
CP012019     2019     01C     92C
EP012019     2019     01E     93E
EP022019     2019     02E     94E
EP032019     2019     03E     95E
EP042019     2019     04E     96E
EP052019     2019     05E     97E
EP062019     2019     06E     99E
EP072019     2019     07E     90E
EP082019     2019     08E     91E
EP092019     2019     09E     92E
EP102019     2019     10E     95E
EP112019     2019     11E     98E
EP122019     2019     12E     99E
EP132019     2019     13E     90E
EP142019     2019     14E     91E
EP152019     2019     15E     92E
EP162019     2019     16E     94E
EP172019     2019     17E     98E
EP182019     2019     18E     99E
EP192019     2019     19E     90E
EP202019     2019     20E     93E
EP212019     2019     21E     94E
WP012019     2019     01W     90W
WP022019     2019     02W     92W
WP032019     2019     03W     95W
WP042019     2019     04W     95W
WP072019     2019     07W     91W
WP092019     2019     09W     93W
WP102019     2019     10W     94W
WP112019     2019     11W     95W
WP122019     2019     12W     97W
WP142019     2019     14W     90W
WP152019     2019     15W     92W
WP162019     2019     16W     94W
WP172019     2019     17W     97W
WP182019     2019     18W     95W
WP212019     2019     21W     96W
WP222019     2019     22W     97W
WP232019     2019     23W     98W
WP242019     2019     24W     99W
WP252019     2019     25W     90W
WP262019     2019     26W     92W
WP272019     2019     27W     91W
WP282019     2019     28W     93W
WP292019     2019     29W     94W
WP302019     2019     30W     98W
AL012020     2020     01L     90L
AL032020     2020     03L     93L
AL042020     2020     04L     95L
AL052020     2020     05L     97L
AL062020     2020     06L     98L
AL072020     2020     07L     99L
AL082020     2020     08L     91L
AL092020     2020     09L     92L
AL102020     2020     10L     93L
AL112020     2020     11L     95L
AL122020     2020     12L     96L
AL132020     2020     13L     98L
AL142020     2020     14L     97L
AL152020     2020     15L     90L
AL162020     2020     16L     99L
AL172020     2020     17L     92L
AL182020     2020     18L     93L
AL192020     2020     19L     96L
AL202020     2020     20L     95L
AL212020     2020     21L     97L
AL222020     2020     22L     90L
AL232020     2020     23L     98L
AL242020     2020     24L     99L
AL252020     2020     25L     91L
AL262020     2020     26L     92L
AL272020     2020     27L     94L
AL282020     2020     28L     95L
AL292020     2020     29L     96L
AL302020     2020     30L     97L
AL312020     2020     31L     98L
EP012020     2020     01E     90E
EP022020     2020     02E     91E
EP032020     2020     03E     93E
EP042020     2020     04E     95E
EP052020     2020     05E     97E
EP062020     2020     06E     98E
EP072020     2020     07E     99E
EP082020     2020     08E     90E
EP092020     2020     09E     91E
EP102020     2020     10E     92E
EP112020     2020     11E     94E
EP122020     2020     12E     95E
EP132020     2020     13E     97E
EP142020     2020     14E     99E
EP152020     2020     15E     90E
EP162020     2020     16E     92E
EP172020     2020     17E     93E
EP182020     2020     18E     94E
EP192020     2020     19E     95E
EP202020     2020     20E     97E
EP212020     2020     21E     98E
WP012020     2020     01W     95W
WP022020     2020     02W     98W
WP032020     2020     03W     92W
WP052020     2020     05W     94W
WP062020     2020     06W     96W
WP072020     2020     07W     95W
WP082020     2020     08W     99W
WP092020     2020     09W     90W
WP102020     2020     10W     94W
WP112020     2020     11W     95W
WP122020     2020     12W     97W
WP132020     2020     13W     90W
WP142020     2020     14W     93W
WP152020     2020     15W     97W
WP162020     2020     16W     90W
WP172020     2020     17W     92W
WP182020     2020     18W     93W
WP192020     2020     19W     96W
WP202020     2020     20W     97W
WP212020     2020     21W     98W
WP222020     2020     22W     99W
WP242020     2020     24W     92W
WP252020     2020     25W     93W
WP262020     2020     26W     99W
AL012021     2021     01L     90L
AL022021     2021     02L     93L
AL032021     2021     03L     92L
AL042021     2021     04L     96L
AL052021     2021     05L     97L
AL062021     2021     06L     94L
AL072021     2021     07L     95L
AL082021     2021     08L     96L
AL092021     2021     09L     99L
AL102021     2021     10L     98L
AL112021     2021     11L     97L
AL122021     2021     12L     90L
EP012021     2021     01E     90E
EP022021     2021     02E     91E
EP032021     2021     03E     92E
EP042021     2021     04E     94E
EP052021     2021     05E     95E
EP062021     2021     06E     96E
EP072021     2021     07E     97E
EP082021     2021     08E     90E
EP092021     2021     09E     99E
EP102021     2021     10E     91E
EP112021     2021     11E     92E
EP122021     2021     12E     93E
EP132021     2021     13E     94E
EP142021     2021     14E     95E
WP012021     2021     01W     91W
WP022021     2021     02W     94W
WP032021     2021     03W     96W
WP042021     2021     04W     99W
WP052021     2021     05W     92W
WP062021     2021     06W     94W
WP082021     2021     08W     97W
WP102021     2021     10W     99W
WP122021     2021     12W     98W
WP132021     2021     13W     90W
WP142021     2021     14W     97W
WP152021     2021     15W     99W
